Equipo;Descripción;Barra;Celda;Fila;Resumen;Gabinete;FU1;FU2;FA1
SG10S101;CICLO- VAPOR DE SELLO AL C.B.P N°2;3 CA;11;D;380V -3CA -11D;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RH10S101;CICLO- 2° EXTRACCION AL C.B.P N°2;3 CA;11;E;380V -3CA -11E;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RH01S101;CICLO- 1° EXTRACCION AL C.B.P N°1;3 CA;11;G;380V -3CA -11G;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RM17S101;CICLO- REPOSICION RAPIDA AL CONDENSADOR;3 CA;11;H;380V -3CA -11H;HA21;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RH04S101;CICLO- ;3 CA;11;J;380V -3CA -11J;HA21;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RJ13S101;CICLO- ENT. DE AIRE AL EYECTOR DE ARRANQUE;3 CA;11;K;380V -3CA -11K;HA21;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RH40S101;CICLO- VAPOR DE CALEFACCION AL TQ DE ALIMEN.;3 CA;11;L;380V -3CA -11L;HA19;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RM60S101;CICLO- SALIDA DE CONDENSADO DEL C.B.P N°3;3 CA;12;A;380V -3CA -12A;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RM50S102;CICLO- ENTRADA DE CONDENSADO DEL C.B.P N°3;3 CA;12;B;380V -3CA -12B;;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RM51S101;CICLO- BY-PASS DE CONDENSADO DEL C.B.P N°3;3 CA;12;C;380V -3CA -12C;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RM42S101;CICLO- BY-PASS CONDENSADO DE LOS C.B.P N° 1 Y 2;3 CA;12;D;380V -3CA -12D;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RM40S101;CICLO- ENTRADA DE CONDENSADO DEL C.B.P N°1;3 CA;12;E;380V -3CA -12E;HA20;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RM50S101;CICLO- SALIDA DE CONDENSADO DEL C.B.P N°2;3 CA;12;G;380V -3CA -12G;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RM70S101;CICLO- SALIDA DE CONDENSADO DEL C.B.P N°4;3 CA;12;H;380V -3CA -12H;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RM60S102;CICLO- ENTRADA DE CONDENSADO DEL C.B.P N°4;3 CA;12;J;380V -3CA -12J;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RM61S101;CICLO- BY-PASS DE CONDENSADO DEL C.B.P N°4;3 CA;12;K;380V -3CA -12K;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
SR10W001;CICLO- ;3 CA;12;L;380V -3CA -12L;;Diazed DII E27 - X3;Termica Unipolar;
RF01S101;CICLO- ENTRADA DE 6° EXTRACCION  AL C.A.P N°1;3 CA;13;A;380V -3CA -13A;HA16;Diazed DII E27 - X3;Termica Unipolar;
RF02S101;CICLO- ENTRADA DE 7° EXTRACCION  AL C.A.P N°2;3 CA;13;B;380V -3CA -13B;HA16;Diazed DII E27 - X3;Termica Unipolar;
SN10S101;TURBINA- VAPOR DE CALENTAMIENTO TUBERIA M.P;3 CA;13;C;380V -3CA -13C;;Diazed DII E27 - X3;Termica Unipolar;
